GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-12-31,21900497,1610612766,1610612738,2019,1610612766,92,0.395,0.75,0.353,25,41,1610612738,109,0.454,0.7,0.368,25,54,0
2019-12-31,21900498,1610612754,1610612755,2019,1610612754,115,0.488,0.769,0.44,35,38,1610612755,97,0.407,0.85,0.207,24,47,1
2019-12-31,21900499,1610612758,1610612746,2019,1610612758,87,0.413,0.684,0.286,20,41,1610612746,105,0.409,0.955,0.333,21,51,0
2019-12-31,21900500,1610612761,1610612739,2019,1610612761,117,0.476,0.8,0.436,29,45,1610612739,97,0.425,0.813,0.263,21,41,1
2019-12-31,21900501,1610612745,1610612743,2019,1610612745,130,0.529,0.71,0.471,20,43,1610612743,104,0.464,0.667,0.32,25,39,1
2019-12-31,21900502,1610612759,1610612744,2019,1610612759,117,0.469,0.765,0.452,30,53,1610612744,113,0.458,0.722,0.444,31,44,1
2019-12-31,21900503,1610612760,1610612742,2019,1610612760,106,0.429,0.786,0.222,18,56,1610612742,101,0.355,0.741,0.294,19,49,1
2019-12-30,21900491,1610612753,1610612737,2019,1610612753,93,0.416,0.583,0.2,22,40,1610612737,101,0.481,0.824,0.31,21,52,0
2019-12-30,21900492,1610612764,1610612748,2019,1610612764,123,0.512,0.667,0.459,26,40,1610612748,105,0.452,0.744,0.357,18,44,1
2019-12-30,21900493,1610612741,1610612749,2019,1610612741,102,0.374,0.625,0.386,26,43,1610612749,123,0.548,0.833,0.344,29,59,0
2019-12-30,21900494,1610612750,1610612751,2019,1610612750,122,0.404,0.724,0.386,20,60,1610612751,115,0.404,0.741,0.366,22,58,1
2019-12-30,21900495,1610612762,1610612765,2019,1610612762,104,0.47,0.8,0.385,20,46,1610612765,81,0.38,0.739,0.286,14,43,1
2019-12-30,21900496,1610612757,1610612756,2019,1610612757,116,0.458,0.778,0.412,24,42,1610612756,122,0.478,0.955,0.565,29,44,0
2019-12-29,21900486,1610612761,1610612760,2019,1610612761,97,0.422,1,0.375,21,42,1610612760,98,0.436,0.87,0.303,15,43,0
2019-12-29,21900487,1610612763,1610612766,2019,1610612763,117,0.489,1,0.286,30,50,1610612766,104,0.43,0.656,0.29,23,42,1
2019-12-29,21900488,1610612740,1610612745,2019,1610612740,127,0.49,0.692,0.409,32,47,1610612745,112,0.519,0.65,0.385,29,41,1
2019-12-29,21900489,1610612743,1610612758,2019,1610612743,120,0.519,0.903,0.276,23,37,1610612758,115,0.529,0.706,0.382,32,35,1
2019-12-29,21900490,1610612747,1610612742,2019,1610612747,108,0.487,0.821,0.391,28,39,1610612742,95,0.36,0.9,0.302,17,45,1
2019-12-28,21900472,1610612743,1610612763,2019,1610612743,119,0.484,0.741,0.31,28,43,1610612763,110,0.488,0.76,0.3,32,45,1
2019-12-28,21900473,1610612738,1610612761,2019,1610612738,97,0.397,0.778,0.219,18,31,1610612761,113,0.524,0.647,0.412,27,53,0
2019-12-28,21900474,1610612740,1610612754,2019,1610612740,120,0.462,0.8,0.429,25,49,1610612754,98,0.388,0.897,0.214,17,46,1
2019-12-28,21900475,1610612748,1610612755,2019,1610612748,117,0.447,0.793,0.357,26,43,1610612755,116,0.472,0.759,0.333,24,47,1
2019-12-28,21900476,1610612764,1610612752,2019,1610612764,100,0.344,0.774,0.4,16,49,1610612752,107,0.447,0.769,0.355,25,56,0
2019-12-28,21900477,1610612741,1610612737,2019,1610612741,116,0.494,0.789,0.484,22,51,1610612737,81,0.372,0.727,0.265,24,39,1
2019-12-28,21900478,1610612745,1610612751,2019,1610612745,108,0.436,0.438,0.31,16,54,1610612751,98,0.402,0.619,0.282,24,47,1
2019-12-28,21900479,1610612750,1610612739,2019,1610612750,88,0.355,0.737,0.216,17,39,1610612739,94,0.416,0.722,0.2,13,61,0
2019-12-28,21900480,1610612749,1610612753,2019,1610612749,111,0.512,0.667,0.351,30,57,1610612753,100,0.402,0.842,0.4,21,35,1
2019-12-28,21900481,1610612759,1610612765,2019,1610612759,136,0.57,0.8,0.514,30,51,1610612765,109,0.444,0.567,0.333,20,40,1
2019-12-28,21900482,1610612744,1610612742,2019,1610612744,121,0.489,0.765,0.462,28,42,1610612742,141,0.522,1,0.471,35,46,0
2019-12-28,21900483,1610612758,1610612756,2019,1610612758,110,0.488,0.667,0.387,19,36,1610612756,112,0.517,0.867,0.346,30,41,0
2019-12-28,21900484,1610612757,1610612747,2019,1610612757,120,0.477,0.852,0.429,18,39,1610612747,128,0.516,0.821,0.344,32,44,0
2019-12-28,21900485,1610612746,1610612762,2019,1610612746,107,0.368,0.926,0.3,22,46,1610612762,120,0.523,0.765,0.486,25,47,0
2019-12-27,21900466,1610612738,1610612739,2019,1610612738,129,0.516,0.895,0.35,28,43,1610612739,117,0.518,0.69,0.391,22,38,1
2019-12-27,21900467,1610612766,1610612760,2019,1610612766,102,0.416,0.611,0.179,26,54,1610612760,104,0.449,0.613,0.161,19,49,0
2019-12-27,21900468,1610612753,1610612755,2019,1610612753,98,0.42,0.609,0.333,26,48,1610612755,97,0.402,0.81,0.345,23,45,1
2019-12-27,21900469,1610612737,1610612749,2019,1610612737,86,0.363,0.571,0.293,20,46,1610612749,112,0.505,0.692,0.393,29,56,0
2019-12-27,21900470,1610612748,1610612754,2019,1610612748,113,0.449,0.895,0.421,29,56,1610612754,112,0.489,0.833,0.452,27,34,1
2019-12-27,21900471,1610612744,1610612756,2019,1610612744,105,0.413,0.8,0.333,22,41,1610612756,96,0.467,0.792,0.212,22,49,1
2019-12-26,21900460,1610612765,1610612764,2019,1610612765,132,0.535,0.808,0.396,32,48,1610612764,102,0.413,0.704,0.292,18,44,1
2019-12-26,21900461,1610612751,1610612752,2019,1610612751,82,0.269,0.75,0.26,17,50,1610612752,94,0.402,0.733,0.31,16,60,0
2019-12-26,21900462,1610612760,1610612763,2019,1610612760,97,0.413,0.846,0.286,23,34,1610612763,110,0.548,0.727,0.4,26,50,0
2019-12-26,21900463,1610612742,1610612759,2019,1610612742,102,0.422,0.667,0.4,22,52,1610612759,98,0.482,0.667,0.276,18,45,1
2019-12-26,21900464,1610612758,1610612750,2019,1610612758,104,0.346,0.84,0.231,20,67,1610612750,105,0.346,0.793,0.217,23,65,0
2019-12-26,21900465,1610612762,1610612757,2019,1610612762,121,0.568,0.682,0.389,22,41,1610612757,115,0.483,0.737,0.441,14,43,1
2019-12-25,21900455,1610612761,1610612738,2019,1610612761,102,0.475,0.818,0.348,17,34,1610612738,118,0.5,0.857,0.424,26,45,0
2019-12-25,21900456,1610612755,1610612749,2019,1610612755,121,0.436,0.8,0.477,29,49,1610612749,109,0.474,0.75,0.394,23,47,1
2019-12-25,21900457,1610612744,1610612745,2019,1610612744,116,0.471,0.893,0.321,27,54,1610612745,104,0.37,0.875,0.314,19,49,1
2019-12-25,21900458,1610612747,1610612746,2019,1610612747,106,0.406,0.762,0.267,24,42,1610612746,111,0.459,0.75,0.36,24,50,0
2019-12-25,21900459,1610612743,1610612740,2019,1610612743,100,0.402,0.778,0.324,24,40,1610612740,112,0.456,1,0.419,23,52,0
2019-12-23,21900444,1610612739,1610612737,2019,1610612739,121,0.521,0.833,0.379,19,43,1610612737,118,0.474,0.765,0.357,23,37,1
2019-12-23,21900445,1610612765,1610612755,2019,1610612765,109,0.512,0.722,0.333,27,30,1610612755,125,0.547,0.818,0.4,33,48,0
2019-12-23,21900446,1610612754,1610612761,2019,1610612754,120,0.474,0.6,0.429,34,45,1610612761,115,0.457,0.75,0.275,30,50,1
2019-12-23,21900447,1610612752,1610612764,2019,1610612752,115,0.473,0.8,0.417,29,44,1610612764,121,0.47,0.567,0.333,27,48,0
2019-12-23,21900448,1610612753,1610612741,2019,1610612753,103,0.481,0.652,0.385,23,46,1610612741,95,0.398,0.8,0.351,20,47,1
2019-12-23,21900449,1610612748,1610612762,2019,1610612748,107,0.411,0.889,0.36,16,56,1610612762,104,0.433,0.778,0.333,17,45,1
2019-12-23,21900450,1610612763,1610612759,2019,1610612763,115,0.469,0.625,0.405,28,35,1610612759,145,0.674,0.714,0.625,36,46,0
2019-12-23,21900451,1610612756,1610612743,2019,1610612756,111,0.483,0.778,0.351,29,38,1610612743,113,0.551,0.8,0.536,31,39,0
2019-12-23,21900452,1610612757,1610612740,2019,1610612757,94,0.407,0.889,0.138,17,48,1610612740,102,0.409,0.688,0.429,23,55,0
2019-12-23,21900453,1610612758,1610612745,2019,1610612758,104,0.471,0.652,0.233,20,49,1610612745,113,0.448,0.87,0.385,18,39,0
2019-12-23,21900454,1610612744,1610612750,2019,1610612744,113,0.437,0.833,0.4,27,55,1610612750,104,0.402,0.793,0.324,16,40,1
2019-12-22,21900439,1610612761,1610612742,2019,1610612761,110,0.394,0.839,0.294,21,51,1610612742,107,0.389,0.815,0.326,27,53,1
2019-12-22,21900440,1610612738,1610612766,2019,1610612738,119,0.523,0.813,0.438,25,57,1610612766,93,0.402,0.739,0.294,26,27,1
2019-12-22,21900441,1610612749,1610612754,2019,1610612749,117,0.423,0.824,0.341,31,61,1610612754,89,0.37,0.6,0.3,27,48,1
2019-12-22,21900442,1610612760,1610612746,2019,1610612760,118,0.474,0.85,0.333,24,49,1610612746,112,0.465,0.875,0.407,22,42,1
2019-12-22,21900443,1610612747,1610612743,2019,1610612747,104,0.47,0.727,0.345,18,45,1610612743,128,0.489,0.9,0.344,31,44,0
2019-12-21,21900430,1610612766,1610612762,2019,1610612766,107,0.459,0.773,0.414,20,36,1610612762,114,0.52,0.95,0.5,27,42,0
2019-12-21,21900431,1610612751,1610612737,2019,1610612751,122,0.46,0.679,0.367,23,61,1610612737,112,0.371,0.852,0.229,17,52,1
2019-12-21,21900432,1610612765,1610612741,2019,1610612765,107,0.46,0.917,0.457,30,29,1610612741,119,0.519,0.84,0.514,21,46,0
2019-12-21,21900433,1610612755,1610612764,2019,1610612755,125,0.521,0.619,0.424,28,53,1610612764,108,0.409,0.853,0.226,18,38,1
2019-12-21,21900434,1610612752,1610612749,2019,1610612752,102,0.402,0.714,0.3,23,47,1610612749,123,0.482,0.657,0.419,26,52,0
2019-12-21,21900435,1610612763,1610612758,2019,1610612763,119,0.482,0.828,0.429,32,44,1610612758,115,0.43,0.75,0.306,22,51,1
2019-12-21,21900436,1610612759,1610612746,2019,1610612759,109,0.512,0.789,0.357,24,36,1610612746,134,0.545,0.737,0.333,32,43,0
2019-12-21,21900437,1610612756,1610612745,2019,1610612756,125,0.516,0.767,0.286,26,41,1610612745,139,0.586,0.783,0.463,23,37,0
2019-12-21,21900438,1610612757,1610612750,2019,1610612757,113,0.426,0.8,0.371,19,45,1610612750,106,0.437,0.938,0.405,16,39,1
2019-12-20,21900420,1610612739,1610612763,2019,1610612739,114,0.435,0.739,0.459,26,60,1610612763,107,0.431,0.714,0.341,31,46,1
2019-12-20,21900421,1610612754,1610612758,2019,1610612754,119,0.523,0.833,0.452,34,39,1610612758,105,0.451,0.867,0.313,25,41,1
2019-12-20,21900422,1610612738,1610612765,2019,1610612738,114,0.523,0.714,0.333,24,51,1610612765,93,0.4,0.737,0.355,21,36,1
2019-12-20,21900423,1610612761,1610612764,2019,1610612761,122,0.487,0.773,0.4,26,42,1610612764,118,0.46,0.75,0.359,24,39,1
2019-12-20,21900424,1610612748,1610612752,2019,1610612748,129,0.558,0.735,0.474,34,51,1610612752,114,0.436,0.667,0.294,23,41,1
2019-12-20,21900425,1610612755,1610612742,2019,1610612755,98,0.422,0.667,0.294,25,46,1610612742,117,0.518,0.773,0.424,23,49,0
2019-12-20,21900426,1610612760,1610612756,2019,1610612760,126,0.563,0.857,0.417,23,41,1610612756,108,0.437,0.913,0.344,26,37,1
2019-12-20,21900427,1610612743,1610612750,2019,1610612743,109,0.494,0.917,0.357,27,44,1610612750,100,0.414,0.667,0.238,20,46,1
2019-12-20,21900428,1610612757,1610612753,2019,1610612757,118,0.5,0.895,0.472,16,54,1610612753,103,0.368,0.692,0.25,21,48,1
2019-12-20,21900429,1610612744,1610612740,2019,1610612744,106,0.434,0.96,0.303,25,47,1610612740,102,0.419,0.652,0.265,23,48,1
2019-12-19,21900416,1610612737,1610612762,2019,1610612737,106,0.433,0.895,0.379,24,40,1610612762,111,0.47,0.711,0.25,18,53,0
2019-12-19,21900417,1610612749,1610612747,2019,1610612749,111,0.468,0.719,0.41,22,40,1610612747,104,0.463,0.783,0.343,24,38,1
